model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
BMW,185858,135,diesel,blue,suv,True,True,True,True,True,True,True
Renault,178231,77,petrol,green,sedan,False,False,False,False,False,True,True
Citroën,62856,135,diesel,blue,sedan,False,False,False,True,True,False,True
BMW,87432,135,diesel,silver,suv,False,False,False,False,False,False,False
BMW,155916,85,diesel,black,hatchback,False,True,False,False,True,False,False
Renault,163143,135,diesel,grey,sedan,True,True,False,False,False,True,True
Audi,159773,190,diesel,grey,estate,False,True,False,True,True,False,True
BMW,105298,135,diesel,grey,suv,False,False,False,False,False,False,False
Citroën,52363,110,diesel,black,hatchback,False,True,False,False,False,True,True
Citroën,190336,160,petrol,black,sedan,False,False,False,False,False,False,True
Mitsubishi,113131,230,diesel,blue,suv,True,True,False,True,False,True,True
Lexus,69146,280,diesel,black,sedan,True,True,True,True,True,False,True
SEAT,48988,140,diesel,blue,suv,True,True,False,False,True,False,True
Mitsubishi,76677,190,diesel,black,suv,True,True,False,True,True,False,True
Renault,212590,120,diesel,grey,sedan,True,True,True,False,False,False,True
Citroën,156321,120,diesel,brown,estate,True,True,False,False,False,False,True
Renault,95787,85,diesel,black,estate,False,False,False,False,False,False,False
Volkswagen,56421,135,diesel,brown,hatchback,True,True,False,False,True,False,True
Renault,156732,135,diesel,brown,estate,True,True,True,False,False,False,True
Renault,94462,85,diesel,silver,estate,True,True,True,False,False,False,True
Renault,95235,120,diesel,grey,sedan,True,True,False,False,True,False,True
Peugeot,174631,120,diesel,black,convertible,True,True,False,False,False,False,True
Peugeot,92972,105,diesel,brown,sedan,False,False,False,False,False,False,False
Citroën,160805,135,diesel,white,estate,False,True,False,False,True,True,True
BMW,148769,135,diesel,black,suv,True,False,False,True,False,False,True
Citroën,208310,120,diesel,red,sedan,False,True,False,False,False,False,True
Renault,80403,140,diesel,black,estate,False,False,False,False,False,False,False
Subaru,35025,230,diesel,grey,suv,True,True,True,False,True,False,True
Citroën,253534,120,diesel,black,sedan,False,True,False,False,False,False,True
Renault,19476,225,petrol,white,hatchback,True,True,False,False,True,False,True
BMW,163747,190,diesel,black,suv,True,True,True,True,False,False,True
Audi,154411,190,diesel,blue,sedan,True,True,True,True,True,False,True
Peugeot,155440,105,diesel,silver,estate,False,True,False,False,True,False,True
Citroën,94445,105,diesel,blue,subcompact,True,True,False,False,False,False,True
Citroën,186472,110,diesel,black,sedan,False,True,False,False,False,False,True
Subaru,116784,180,diesel,grey,suv,True,True,True,True,True,True,True
Citroën,189055,135,diesel,black,sedan,True,True,False,False,True,False,True
Citroën,186202,135,diesel,black,estate,False,True,False,False,True,True,True
Renault,225684,110,diesel,silver,estate,True,True,False,False,False,False,True
Renault,118066,85,diesel,brown,sedan,False,False,False,False,False,False,True
